---
NowHeight 5, NowNumRabbits 5, RyegrassGrowsPerMonth 5, OneRabbitsEatsPerMonth 1.0
NowYear, NowMonth, NowPrecip, NowTemp, NowHeight, NowNumRabbits, NowNumMutants
2023    , 8       , 8.5642    , 58.0084   , 0.5647    , 0       , 0       
2023    , 9       , 7.1078    , 45.1496   , 4.1409    , 0       , 0       
2023    , 10      , 10.3883   , 38.6025   , 4.4836    , 1       , 0       
2023    , 11      , 10.5685   , 33.8151   , 2.5287    , 2       , 0       
2024    , 12      , 11.4705   , 33.2773   , 0.0000    , 2       , 0       
2024    , 13      , 13.7015   , 55.8364   , 0.0000    , 1       , 0       
2024    , 14      , 17.2202   , 55.0823   , 2.2004    , 0       , 0       
2024    , 15      , 15.0478   , 67.4292   , 5.7396    , 1       , 0       
2024    , 16      , 14.9256   , 76.8932   , 6.5874    , 2       , 0       
2024    , 17      , 14.9264   , 79.1902   , 2.8731    , 3       , 0       
2024    , 18      , 12.0502   , 75.1688   , 0.0000    , 2       , 0       
2024    , 19      , 10.2512   , 74.6770   , 0.0000    , 1       , 0       
2024    , 20      , 9.7024    , 63.1809   , 0.0000    , 0       , 0       
2024    , 21      , 7.5461    , 50.4899   , 3.7568    , 0       , 0       
2024    , 22      , 10.8477   , 52.0124   , 5.0912    , 1       , 0       
2024    , 23      , 12.7620   , 32.0766   , 5.4830    , 2       , 0       
2025    , 24      , 11.3795   , 41.2014   , 1.4850    , 3       , 0       
2025    , 25      , 15.4813   , 39.7021   , 0.0000    , 2       , 0       
2025    , 26      , 15.2593   , 62.6283   , 0.0000    , 1       , 0       
2025    , 27      , 13.9438   , 56.4598   , 2.5929    , 0       , 0       
2025    , 28      , 13.0808   , 73.2962   , 7.0038    , 1       , 0       
2025    , 29      , 14.9178   , 74.0841   , 5.8500    , 2       , 0       
2025    , 30      , 12.3684   , 87.3627   , 2.5321    , 3       , 0       
2025    , 31      , 9.3306    , 69.4755   , 0.0000    , 2       , 0       
2025    , 32      , 9.1773    , 62.6805   , 0.0000    , 1       , 0       
2025    , 33      , 8.8072    , 55.0743   , 1.6877    , 0       , 0       
2025    , 34      , 7.3287    , 46.4900   , 4.6833    , 1       , 0       
2025    , 35      , 12.6921   , 39.4342   , 3.1998    , 2       , 0       
2026    , 36      , 13.9191   , 49.2977   , 0.0000    , 3       , 0       
2026    , 37      , 15.7826   , 41.5437   , 0.0000    , 2       , 0       
2026    , 38      , 15.2799   , 57.6232   , 0.0000    , 1       , 0       
2026    , 39      , 14.5276   , 68.9336   , 2.6486    , 0       , 0       
2026    , 40      , 16.3487   , 72.9442   , 4.8933    , 1       , 0       
2026    , 41      , 12.3566   , 85.9025   , 3.7791    , 2       , 0       
2026    , 42      , 12.5382   , 73.8979   , 0.0000    , 3       , 0       
2026    , 43      , 9.9183    , 71.1493   , 0.0000    , 2       , 0       
2026    , 44      , 8.4909    , 74.3057   , 0.0000    , 1       , 0       
2026    , 45      , 9.5710    , 57.9697   , 0.0000    , 0       , 0       
2026    , 46      , 10.8675   , 44.6491   , 3.9435    , 0       , 0       
2026    , 47      , 12.2238   , 38.6502   , 4.3729    , 1       , 0       
2027    , 48      , 14.6792   , 44.3659   , 2.4237    , 2       , 0       
2027    , 49      , 13.6917   , 45.5077   , 0.0000    , 2       , 0       
2027    , 50      , 17.5442   , 63.8287   , 0.0000    , 1       , 0       
2027    , 51      , 17.3880   , 58.1296   , 1.8085    , 0       , 0       
2027    , 52      , 14.5562   , 76.9637   , 6.1131    , 1       , 0       
2027    , 53      , 12.1595   , 81.7104   , 4.3935    , 2       , 0       
2027    , 54      , 10.1946   , 85.0386   , 0.4369    , 3       , 0       
2027    , 55      , 8.0760    , 73.0828   , 0.0000    , 2       , 0       
2027    , 56      , 7.2412    , 58.9271   , 0.0000    , 1       , 0       
2027    , 57      , 7.8023    , 55.9525   , 1.1303    , 0       , 0       
2027    , 58      , 10.7988   , 39.2500   , 4.0210    , 1       , 0       
2027    , 59      , 9.4690    , 32.7449   , 2.0819    , 2       , 0       
2028    , 60      , 14.0772   , 40.5904   , 0.0000    , 2       , 0       
2028    , 61      , 16.5684   , 55.5529   , 0.0000    , 1       , 0       
2028    , 62      , 15.3965   , 58.5125   , 1.8409    , 0       , 0       
2028    , 63      , 15.3384   , 70.1718   , 6.6370    , 1       , 0       
2028    , 64      , 13.7575   , 70.0254   , 6.3822    , 2       , 0       
2028    , 65      , 12.0129   , 81.0083   , 4.2112    , 3       , 0       
2028    , 66      , 11.8933   , 72.3663   , 0.0000    , 4       , 0       
2028    , 67      , 10.3455   , 66.6516   , 0.0000    , 3       , 0       
2028    , 68      , 9.1166    , 58.4584   , 0.0000    , 2       , 0       
2028    , 69      , 9.9367    , 46.3142   , 0.0000    , 1       , 0       
2028    , 70      , 9.2578    , 36.9084   , 0.0000    , 0       , 0       
2028    , 71      , 9.9250    , 34.2057   , 0.0193    , 0       , 0       
---
NowHeight 5, NowNumRabbits 5, RyegrassGrowsPerMonth 5, OneRabbitsEatsPerMonth 5.0
NowYear, NowMonth, NowPrecip, NowTemp, NowHeight, NowNumRabbits, NowNumMutants
2023    , 0       , 14.2290   , 46.3435   , 0.0000    , 5       , 0       
2023    , 1       , 13.6186   , 54.0908   , 0.0000    , 4       , 0       
2023    , 2       , 16.9366   , 51.5281   , 0.0000    , 3       , 0       
2023    , 3       , 16.0796   , 60.7319   , 0.0000    , 2       , 0       
2023    , 4       , 15.3439   , 73.6901   , 0.0000    , 1       , 0       
2023    , 5       , 13.0889   , 76.6142   , 0.0000    , 0       , 0       
2023    , 6       , 12.6295   , 88.3631   , 0.3137    , 0       , 0       
2023    , 7       , 10.0408   , 76.8564   , 0.3153    , 0       , 0       
2023    , 8       , 8.5642    , 58.0084   , 0.5647    , 0       , 0       
2023    , 9       , 7.1078    , 45.1496   , 4.1409    , 0       , 0       
2023    , 10      , 10.3883   , 38.6025   , 4.4836    , 1       , 0       
2023    , 11      , 10.5685   , 33.8151   , 0.0000    , 2       , 0       
2024    , 12      , 11.4705   , 33.2773   , 0.0000    , 1       , 0       
2024    , 13      , 13.7015   , 55.8364   , 0.0000    , 0       , 0       
2024    , 14      , 17.2202   , 55.0823   , 4.2004    , 0       , 0       
2024    , 15      , 15.0478   , 67.4292   , 7.7396    , 1       , 0       
2024    , 16      , 14.9256   , 76.8932   , 5.5874    , 2       , 0       
2024    , 17      , 14.9264   , 79.1902   , 0.0000    , 3       , 0       
2024    , 18      , 12.0502   , 75.1688   , 0.0000    , 2       , 0       
2024    , 19      , 10.2512   , 74.6770   , 0.0000    , 1       , 0       
2024    , 20      , 9.7024    , 63.1809   , 0.0000    , 0       , 0       
2024    , 21      , 7.5461    , 50.4899   , 3.7568    , 0       , 0       
2024    , 22      , 10.8477   , 52.0124   , 5.0912    , 1       , 0       
2024    , 23      , 12.7620   , 32.0766   , 2.4830    , 2       , 0       
2025    , 24      , 11.3795   , 41.2014   , 0.0000    , 2       , 0       
2025    , 25      , 15.4813   , 39.7021   , 0.0000    , 1       , 0       
2025    , 26      , 15.2593   , 62.6283   , 0.0000    , 0       , 0       
2025    , 27      , 13.9438   , 56.4598   , 4.5929    , 0       , 0       
2025    , 28      , 13.0808   , 73.2962   , 9.0038    , 1       , 0       
2025    , 29      , 14.9178   , 74.0841   , 4.8500    , 2       , 0       
2025    , 30      , 12.3684   , 87.3627   , 0.0000    , 3       , 0       
2025    , 31      , 9.3306    , 69.4755   , 0.0000    , 2       , 0       
2025    , 32      , 9.1773    , 62.6805   , 0.0000    , 1       , 0       
2025    , 33      , 8.8072    , 55.0743   , 0.0000    , 0       , 0       
2025    , 34      , 7.3287    , 46.4900   , 2.9956    , 0       , 0       
2025    , 35      , 12.6921   , 39.4342   , 3.5121    , 1       , 0       
2026    , 36      , 13.9191   , 49.2977   , 0.0000    , 2       , 0       
2026    , 37      , 15.7826   , 41.5437   , 0.0000    , 1       , 0       
2026    , 38      , 15.2799   , 57.6232   , 0.0000    , 0       , 0       
2026    , 39      , 14.5276   , 68.9336   , 4.6486    , 0       , 0       
2026    , 40      , 16.3487   , 72.9442   , 6.8933    , 1       , 0       
2026    , 41      , 12.3566   , 85.9025   , 2.7791    , 2       , 0       
2026    , 42      , 12.5382   , 73.8979   , 0.0000    , 2       , 0       
2026    , 43      , 9.9183    , 71.1493   , 0.0000    , 1       , 0       
2026    , 44      , 8.4909    , 74.3057   , 0.0000    , 0       , 0       
2026    , 45      , 9.5710    , 57.9697   , 0.4768    , 0       , 0       
2026    , 46      , 10.8675   , 44.6491   , 4.4203    , 0       , 0       
2026    , 47      , 12.2238   , 38.6502   , 4.8497    , 1       , 0       
2027    , 48      , 14.6792   , 44.3659   , 0.0000    , 2       , 0       
2027    , 49      , 13.6917   , 45.5077   , 0.0000    , 1       , 0       
2027    , 50      , 17.5442   , 63.8287   , 0.0000    , 0       , 0       
2027    , 51      , 17.3880   , 58.1296   , 3.8085    , 0       , 0       
2027    , 52      , 14.5562   , 76.9637   , 8.1131    , 1       , 0       
2027    , 53      , 12.1595   , 81.7104   , 3.3935    , 2       , 0       
2027    , 54      , 10.1946   , 85.0386   , 0.0000    , 3       , 0       
2027    , 55      , 8.0760    , 73.0828   , 0.0000    , 2       , 0       
2027    , 56      , 7.2412    , 58.9271   , 0.0000    , 1       , 0       
2027    , 57      , 7.8023    , 55.9525   , 0.0000    , 0       , 0       
2027    , 58      , 10.7988   , 39.2500   , 2.8907    , 0       , 0       
2027    , 59      , 9.4690    , 32.7449   , 2.9516    , 1       , 0       
2028    , 60      , 14.0772   , 40.5904   , 0.0000    , 2       , 0       
2028    , 61      , 16.5684   , 55.5529   , 0.0000    , 1       , 0       
2028    , 62      , 15.3965   , 58.5125   , 0.0000    , 0       , 0       
2028    , 63      , 15.3384   , 70.1718   , 4.7961    , 0       , 0       
2028    , 64      , 13.7575   , 70.0254   , 6.5413    , 1       , 0       
2028    , 65      , 12.0129   , 81.0083   , 3.3703    , 2       , 0       
2028    , 66      , 11.8933   , 72.3663   , 0.0000    , 3       , 0       
2028    , 67      , 10.3455   , 66.6516   , 0.0000    , 2       , 0       
2028    , 68      , 9.1166    , 58.4584   , 0.0000    , 1       , 0       
2028    , 69      , 9.9367    , 46.3142   , 0.0000    , 0       , 0       
2028    , 70      , 9.2578    , 36.9084   , 0.6514    , 0       , 0       
2028    , 71      , 9.9250    , 34.2057   , 0.6707    , 0       , 0       
---
NowHeight 5, NowNumRabbits 5, RyegrassGrowsPerMonth 5, OneRabbitsEatsPerMonth 10.0
NowYear, NowMonth, NowPrecip, NowTemp, NowHeight, NowNumRabbits, NowNumMutants
2023    , 0       , 14.2290   , 46.3435   , 0.0000    , 5       , 0       
2023    , 1       , 13.6186   , 54.0908   , 0.0000    , 4       , 0       
2023    , 2       , 16.9366   , 51.5281   , 0.0000    , 3       , 0       
2023    , 3       , 16.0796   , 60.7319   , 0.0000    , 2       , 0       
2023    , 4       , 15.3439   , 73.6901   , 0.0000    , 1       , 0       
2023    , 5       , 13.0889   , 76.6142   , 0.0000    , 0       , 0       
2023    , 6       , 12.6295   , 88.3631   , 0.3137    , 0       , 0       
2023    , 7       , 10.0408   , 76.8564   , 0.3153    , 0       , 0       
2023    , 8       , 8.5642    , 58.0084   , 0.5647    , 0       , 0       
2023    , 9       , 7.1078    , 45.1496   , 4.1409    , 0       , 0       
2023    , 10      , 10.3883   , 38.6025   , 4.4836    , 1       , 0       
2023    , 11      , 10.5685   , 33.8151   , 0.0000    , 2       , 0       
2024    , 12      , 11.4705   , 33.2773   , 0.0000    , 1       , 0       
2024    , 13      , 13.7015   , 55.8364   , 0.0000    , 0       , 0       
2024    , 14      , 17.2202   , 55.0823   , 4.2004    , 0       , 0       
2024    , 15      , 15.0478   , 67.4292   , 7.7396    , 1       , 0       
2024    , 16      , 14.9256   , 76.8932   , 0.5874    , 2       , 0       
2024    , 17      , 14.9264   , 79.1902   , 0.0000    , 1       , 0       
2024    , 18      , 12.0502   , 75.1688   , 0.0000    , 0       , 0       
2024    , 19      , 10.2512   , 74.6770   , 0.4821    , 0       , 0       
2024    , 20      , 9.7024    , 63.1809   , 0.9861    , 0       , 0       
2024    , 21      , 7.5461    , 50.4899   , 4.7429    , 0       , 0       
2024    , 22      , 10.8477   , 52.0124   , 6.0773    , 1       , 0       
2024    , 23      , 12.7620   , 32.0766   , 0.0000    , 2       , 0       
2025    , 24      , 11.3795   , 41.2014   , 0.0000    , 1       , 0       
2025    , 25      , 15.4813   , 39.7021   , 0.0000    , 0       , 0       
2025    , 26      , 15.2593   , 62.6283   , 0.0795    , 0       , 0       
2025    , 27      , 13.9438   , 56.4598   , 4.6723    , 0       , 0       
2025    , 28      , 13.0808   , 73.2962   , 9.0832    , 1       , 0       
2025    , 29      , 14.9178   , 74.0841   , 0.0000    , 2       , 0       
2025    , 30      , 12.3684   , 87.3627   , 0.0000    , 1       , 0       
2025    , 31      , 9.3306    , 69.4755   , 0.0000    , 0       , 0       
2025    , 32      , 9.1773    , 62.6805   , 1.6381    , 0       , 0       
2025    , 33      , 8.8072    , 55.0743   , 5.3258    , 1       , 0       
2025    , 34      , 7.3287    , 46.4900   , 0.0000    , 2       , 0       
2025    , 35      , 12.6921   , 39.4342   , 0.0000    , 1       , 0       
2026    , 36      , 13.9191   , 49.2977   , 0.0000    , 0       , 0       
2026    , 37      , 15.7826   , 41.5437   , 1.5904    , 0       , 0       
2026    , 38      , 15.2799   , 57.6232   , 1.7510    , 1       , 0       
2026    , 39      , 14.5276   , 68.9336   , 0.0000    , 1       , 0       
2026    , 40      , 16.3487   , 72.9442   , 0.0000    , 0       , 0       
2026    , 41      , 12.3566   , 85.9025   , 0.8858    , 0       , 0       
2026    , 42      , 12.5382   , 73.8979   , 0.8917    , 0       , 0       
2026    , 43      , 9.9183    , 71.1493   , 1.6011    , 0       , 0       
2026    , 44      , 8.4909    , 74.3057   , 2.8222    , 1       , 0       
2026    , 45      , 9.5710    , 57.9697   , 0.0000    , 2       , 0       
2026    , 46      , 10.8675   , 44.6491   , 0.0000    , 1       , 0       
2026    , 47      , 12.2238   , 38.6502   , 0.0000    , 0       , 0       
2027    , 48      , 14.6792   , 44.3659   , 0.0508    , 0       , 0       
2027    , 49      , 13.6917   , 45.5077   , 0.4827    , 0       , 0       
2027    , 50      , 17.5442   , 63.8287   , 1.0943    , 0       , 0       
2027    , 51      , 17.3880   , 58.1296   , 4.9028    , 1       , 0       
2027    , 52      , 14.5562   , 76.9637   , 0.0000    , 2       , 0       
2027    , 53      , 12.1595   , 81.7104   , 0.0000    , 1       , 0       
2027    , 54      , 10.1946   , 85.0386   , 0.0000    , 0       , 0       
2027    , 55      , 8.0760    , 73.0828   , 0.0082    , 0       , 0       
2027    , 56      , 7.2412    , 58.9271   , 0.6438    , 0       , 0       
2027    , 57      , 7.8023    , 55.9525   , 3.7741    , 0       , 0       
2027    , 58      , 10.7988   , 39.2500   , 6.6648    , 1       , 0       
2027    , 59      , 9.4690    , 32.7449   , 0.0000    , 2       , 0       
2028    , 60      , 14.0772   , 40.5904   , 0.0000    , 1       , 0       
2028    , 61      , 16.5684   , 55.5529   , 0.0000    , 0       , 0       
2028    , 62      , 15.3965   , 58.5125   , 3.8409    , 0       , 0       
2028    , 63      , 15.3384   , 70.1718   , 8.6370    , 1       , 0       
2028    , 64      , 13.7575   , 70.0254   , 0.3822    , 2       , 0       
2028    , 65      , 12.0129   , 81.0083   , 0.0000    , 1       , 0       
2028    , 66      , 11.8933   , 72.3663   , 0.0000    , 0       , 0       
2028    , 67      , 10.3455   , 66.6516   , 1.0364    , 0       , 0       
2028    , 68      , 9.1166    , 58.4584   , 3.8472    , 1       , 0       
2028    , 69      , 9.9367    , 46.3142   , 0.0000    , 2       , 0       
2028    , 70      , 9.2578    , 36.9084   , 0.0000    , 1       , 0       
2028    , 71      , 9.9250    , 34.2057   , 0.0000    , 0       , 0       
---
NowHeight 5, NowNumRabbits 5, RyegrassGrowsPerMonth 50, OneRabbitsEatsPerMonth 1.0
NowYear, NowMonth, NowPrecip, NowTemp, NowHeight, NowNumRabbits, NowNumMutants
2023    , 0       , 14.2290   , 46.3435   , 10.2429   , 5       , 0       
2023    , 1       , 13.6186   , 54.0908   , 12.9836   , 6       , 0       
2023    , 2       , 16.9366   , 51.5281   , 42.1955   , 7       , 0       
2023    , 3       , 16.0796   , 60.7319   , 57.5729   , 8       , 0       
2023    , 4       , 15.3439   , 73.6901   , 97.2008   , 9       , 0       
2023    , 5       , 13.0889   , 76.6142   , 95.7375   , 10      , 0       
2023    , 6       , 12.6295   , 88.3631   , 88.8749   , 11      , 1       
2023    , 7       , 10.0408   , 76.8564   , 77.8907   , 12      , 1       
2023    , 8       , 8.5642    , 58.0084   , 68.3847   , 13      , 1       
2023    , 9       , 7.1078    , 45.1496   , 91.1464   , 14      , 1       
2023    , 10      , 10.3883   , 38.6025   , 80.5733   , 15      , 1       
2023    , 11      , 10.5685   , 33.8151   , 66.0240   , 16      , 1       
2024    , 12      , 11.4705   , 33.2773   , 50.0708   , 17      , 1       
2024    , 13      , 13.7015   , 55.8364   , 33.1079   , 18      , 1       
2024    , 14      , 17.2202   , 55.0823   , 57.1122   , 19      , 1       
2024    , 15      , 15.0478   , 67.4292   , 73.5043   , 20      , 1       
2024    , 16      , 14.9256   , 76.8932   , 81.9819   , 21      , 1       
2024    , 17      , 14.9264   , 79.1902   , 63.8386   , 22      , 2       
2024    , 18      , 12.0502   , 75.1688   , 43.0857   , 23      , 2       
2024    , 19      , 10.2512   , 74.6770   , 24.9071   , 24      , 2       
2024    , 20      , 9.7024    , 63.1809   , 5.9467    , 24      , 2       
2024    , 21      , 7.5461    , 50.4899   , 19.5145   , 23      , 2       
2024    , 22      , 10.8477   , 52.0124   , 9.8587    , 22      , 2       
2024    , 23      , 12.7620   , 32.0766   , 11.7766   , 21      , 2       
2025    , 24      , 11.3795   , 41.2014   , 0.0000    , 20      , 1       
2025    , 25      , 15.4813   , 39.7021   , 0.0000    , 19      , 1       
2025    , 26      , 15.2593   , 62.6283   , 0.0000    , 18      , 1       
2025    , 27      , 13.9438   , 56.4598   , 27.9286   , 17      , 1       
2025    , 28      , 13.0808   , 73.2962   , 55.0375   , 18      , 1       
2025    , 29      , 14.9178   , 74.0841   , 45.5004   , 19      , 1       
2025    , 30      , 12.3684   , 87.3627   , 33.3212   , 20      , 1       
2025    , 31      , 9.3306    , 69.4755   , 13.3485   , 21      , 1       
2025    , 32      , 9.1773    , 62.6805   , 8.7299    , 20      , 2       
2025    , 33      , 8.8072    , 55.0743   , 25.6068   , 19      , 1       
