---
NowHeight 5, NowNumRabbits 5, RyegrassGrowsPerMonth 5, OneRabbitsEatsPerMonth 1.0
NowYear, NowMonth, NowPrecip, NowTemp, NowHeight, NowNumRabbits, NowNumMutants
2023    , 0       , 12.1464   , 46.0461   , 1.0243    , 5       , 5       
2023    , 1       , 16.4932   , 54.9025   , 0.0000    , 4       , 105     
2023    , 2       , 15.8455   , 47.3451   , 0.0000    , 3       , 205     
2023    , 3       , 17.5913   , 61.6725   , 0.0000    , 2       , 305     
2023    , 4       , 14.7793   , 73.1018   , 2.2737    , 1       , 405     
2023    , 5       , 13.1646   , 78.4323   , 2.1667    , 2       , 505     
2023    , 6       , 10.1736   , 81.9255   , 0.3328    , 2       , 605     
2023    , 7       , 9.1488    , 77.9323   , 0.0000    , 1       , 705     
2023    , 8       , 7.0378    , 57.2039   , 0.0000    , 0       , 805     
2023    , 9       , 6.3060    , 58.0846   , 2.8478    , 0       , 905     
2023    , 10      , 8.5590    , 45.6531   , 5.5143    , 1       , 1005    
2023    , 11      , 9.0619    , 46.2929   , 4.9891    , 2       , 1105    
2024    , 12      , 14.6699   , 46.7463   , 3.5876    , 3       , 1205    
2024    , 13      , 14.0396   , 42.0424   , 1.4469    , 3       , 1305    
2024    , 14      , 14.0021   , 48.7011   , 0.0000    , 2       , 1405    
2024    , 15      , 14.1681   , 62.6584   , 0.0000    , 1       , 1505    
2024    , 16      , 14.8993   , 73.0358   , 3.6575    , 0       , 1605    
2024    , 17      , 14.0567   , 70.0533   , 4.5642    , 1       , 1705    
2024    , 18      , 12.6560   , 83.6754   , 5.3840    , 2       , 1805    
2024    , 19      , 10.8512   , 76.3086   , 3.4020    , 3       , 1905    
2024    , 20      , 9.6496    , 66.3546   , 0.7189    , 3       , 2005    
2024    , 21      , 6.6150    , 51.9136   , 0.4820    , 2       , 2105    
2024    , 22      , 8.7211    , 39.2528   , 0.0000    , 1       , 2205    
2024    , 23      , 9.3201    , 44.9278   , 0.0000    , 0       , 2305    
2025    , 24      , 12.3472   , 40.3681   , 0.4143    , 0       , 2405    
2025    , 25      , 14.4180   , 54.2700   , 0.5174    , 0       , 2505    
2025    , 26      , 15.4344   , 60.6214   , 4.1117    , 0       , 2605    
2025    , 27      , 14.9956   , 55.1873   , 8.9910    , 1       , 2705    
2025    , 28      , 16.7963   , 76.8758   , 11.9181   , 2       , 2805    
2025    , 29      , 11.7499   , 85.6054   , 10.1862   , 3       , 2905    
2025    , 30      , 10.2756   , 83.2257   , 7.1929    , 4       , 3005    
2025    , 31      , 7.6208    , 69.3907   , 3.2127    , 5       , 3105    
2025    , 32      , 8.1774    , 72.2094   , 0.0000    , 4       , 3205    
2025    , 33      , 6.2875    , 60.3545   , 0.0000    , 3       , 3305    
2025    , 34      , 8.6861    , 39.1187   , 0.0000    , 2       , 3405    
2025    , 35      , 10.0584   , 45.3856   , 0.0000    , 1       , 3505    
2026    , 36      , 12.9883   , 34.9226   , 0.0000    , 0       , 3605    
2026    , 37      , 15.5319   , 42.7354   , 0.0092    , 0       , 3705    
2026    , 38      , 16.8008   , 49.7857   , 0.2571    , 0       , 3805    
2026    , 39      , 15.8380   , 62.0362   , 1.8856    , 0       , 3905    
2026    , 40      , 13.4259   , 73.0142   , 6.5232    , 1       , 4005    
2026    , 41      , 14.9214   , 85.0347   , 6.4394    , 2       , 4105    
