---
NowHeight 5, NowNumRabbits 5, RyegrassGrowsPerMonth 5, OneRabbitsEatsPerMonth 1.0
NowYear, NowMonth, NowPrecip, NowTemp, NowHeight, NowNumRabbits, NowNumMutants
2023    , 0       , 12.1464   , 46.0461   , 1.0243    , 5       , 5       
2023    , 1       , 14.7380   , 46.9373   , 0.0000    , 4       , 1       
2023    , 2       , 16.4065   , 63.1475   , 0.0000    , 3       , 4       
2023    , 3       , 14.4301   , 69.5223   , 1.2736    , 2       , 0       
2023    , 4       , 13.3774   , 68.9999   , 1.2890    , 1       , 2       
2023    , 5       , 11.6620   , 85.4020   , 2.5048    , 1       , 0       
2023    , 6       , 9.4000    , 71.9143   , 1.5122    , 2       , 1       
2023    , 7       , 10.5280   , 74.4008   , 0.4908    , 1       , 2       
2023    , 8       , 7.3204    , 67.4292   , 0.0479    , 0       , 0       
2023    , 9       , 8.2334    , 57.5747   , 1.8908    , 0       , 0       
2023    , 10      , 11.0627   , 45.7295   , 5.2715    , 1       , 0       
2023    , 11      , 11.0717   , 46.1086   , 4.8701    , 2       , 1       
2024    , 12      , 12.1685   , 48.5121   , 3.5364    , 3       , 2       
2024    , 13      , 16.6257   , 37.2530   , 1.8283    , 3       , 3       
2024    , 14      , 14.2079   , 55.3435   , 0.0000    , 2       , 0       
2024    , 15      , 15.2593   , 72.9810   , 2.0236    , 1       , 2       
2024    , 16      , 12.9085   , 65.4256   , 1.9362    , 2       , 0       
2024    , 17      , 14.9178   , 74.0841   , 3.6171    , 1       , 2       
2024    , 18      , 12.3684   , 87.3627   , 3.2992    , 2       , 0       
2024    , 19      , 10.2126   , 71.6463   , 1.3019    , 3       , 2       
2024    , 20      , 7.8868    , 55.9620   , 0.0000    , 2       , 3       
2024    , 21      , 9.8595    , 63.4603   , 0.9232    , 1       , 0       
2024    , 22      , 10.1257   , 41.5437   , 3.6601    , 0       , 1       
2024    , 23      , 10.3809   , 43.4811   , 3.8028    , 1       , 0       
2025    , 24      , 12.7957   , 34.0010   , 3.0892    , 2       , 1       
2025    , 25      , 13.7443   , 42.4646   , 1.0950    , 3       , 2       
2025    , 26      , 16.2183   , 63.9530   , 0.0000    , 2       , 3       
2025    , 27      , 17.2984   , 68.3225   , 2.0713    , 1       , 0       
2025    , 28      , 14.4222   , 82.6215   , 3.3148    , 2       , 1       
2025    , 29      , 12.9652   , 87.5380   , 1.3447    , 3       , 2       
2025    , 30      , 12.4890   , 72.2717   , 0.0000    , 2       , 3       
2025    , 31      , 8.8994    , 76.9638   , 0.0000    , 1       , 0       
2025    , 32      , 9.2803    , 60.7976   , 0.0000    , 0       , 1       
2025    , 33      , 7.9244    , 50.9728   , 3.9762    , 0       , 0       
2025    , 34      , 7.9217    , 40.3800   , 5.5064    , 1       , 0       
2025    , 35      , 10.6307   , 41.8104   , 4.5800    , 2       , 1       
2026    , 36      , 11.5396   , 32.7449   , 2.7432    , 3       , 2       
2026    , 37      , 15.5662   , 54.5579   , 0.0000    , 2       , 3       
2026    , 38      , 16.8628   , 52.4874   , 1.6282    , 1       , 0       
2026    , 39      , 14.7927   , 61.0596   , 3.2480    , 1       , 1       
2026    , 40      , 13.8061   , 75.8319   , 7.1612    , 2       , 0       
2026    , 41      , 14.2092   , 71.8280   , 5.5688    , 3       , 2       
2026    , 42      , 9.1748    , 88.3206   , 3.8025    , 4       , 3       
